ID;DLCFile;Group;Dosage;Experiment;VideoFile
16459-67059;02052023_001_16459-67059DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yoh;6;Yohimbine;02052023_001_16459-67059DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.mp4
16459-67063;02052023_001_16459-67063DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yoh;6;Yohimbine;02052023_001_16459-67063DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.mp4
16459-67066;02052023_001_16459-67066DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yoh;6;Yohimbine;02052023_001_16459-67066DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.mp4
16459-67070;02052023_001_16459-67070DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yoh;6;Yohimbine;02052023_001_16459-67070DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.mp4
16459-67073;02052023_001_16459-67073DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yoh;6;Yohimbine;02052023_001_16459-67073DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.mp4
16459-67077;02052023_001_16459-67077DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yoh;6;Yohimbine;02052023_001_16459-67077DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.mp4
16236-62739;01022023_001_16236-62739DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Veh;0;Diazepam;01022023_001_16236-62739DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000_labeled.mp4
16236-62743;01022023_001_16236-62743DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Veh;0;Diazepam;01022023_001_16236-62743DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000_labeled.mp4
16236-62750;01022023_001_16236-62750DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Veh;0;Diazepam;01022023_001_16236-62750DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000_labeled.mp4
16236-62754;01022023_001_16236-62754DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Veh;0;Diazepam;01022023_001_16236-62754DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000_labeled.mp4
16236-62757;01022023_001_16236-62757DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Veh;0;Diazepam;01022023_001_16236-62757DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000_labeled.mp4
16236-62761;01022023_001_16236-62761DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Veh;0;Diazepam;01022023_001_16236-62761DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000_labeled.mp4
16236-62764;01022023_001_16236-62764DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Veh;0;Diazepam;01022023_001_16236-62764DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000_labeled.mp4
