filename;sex;session;group;VideoFile;animal_ID
TFS1EX1_3DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;Ctrl;TFS1EX1_3.mp4;3
TFS1EX1_4DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;IFS;TFS1EX1_4.mp4;4
TFS1EX1_5DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;Ctrl;TFS1EX1_5.mp4;5
TFS1EX1_6DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;IFS;TFS1EX1_6.mp4;6
TFS1EX1_7DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;IFS;TFS1EX1_7.mp4;7
TFS1EX1_8DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;Ctrl;TFS1EX1_8.mp4;8
TFS1EX1_9DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;Ctrl;TFS1EX1_9.mp4;9
TFS1EX1_10DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;IFS;TFS1EX1_10.mp4;10
TFS1EX1_11DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;Ctrl;TFS1EX1_11.mp4;11
TFS1EX1_12DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;IFS;TFS1EX1_12.mp4;12
TFS1EX1_13DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;IFS;TFS1EX1_13.mp4;13
TFS1EX1_14DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;Ctrl;TFS1EX1_14.mp4;14
TFS1EX1_15DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;IFS;TFS1EX1_15.mp4;15
TFS1EX1_16DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;Ctrl;TFS1EX1_16.mp4;16
TFS1EX1_17DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;IFS;TFS1EX1_17.mp4;17
TFS1EX1_18DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;Ctrl;TFS1EX1_18.mp4;18
TFS1EX1_19DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;IFS;TFS1EX1_19.mp4;19
TFS1EX1_20DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;IFS;TFS1EX1_20.mp4;20
TFS1EX1_21DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX1;Ctrl;TFS1EX1_21.mp4;21
